Course Code,Course Name,Short Name,Short Name Alt,Section,Section URL,Call Number,Points,Day/Time,Location,Enrollment,Notes,Instructor,Type,Method of Instruction,Course Description,Number,Division,Open To,Section key
ACCTB8007,Spring 2026 Accounting B8007 section 001,Financial Planning & Analysis,Financial Planning & Anal,001,https://doc.sis.columbia.edu/subj/ACCT/B8007-20261-001/,14501,1.5,MW 9:00am-10:30am 820 Kravis Hall,,"31 students (74 max) as of 11:06AM Monday, April 27, 2026",,Tim Baldenius,LECTURE,In-Person,"This course explores the use of financial information for internal planning, analysis, and decision-making. The main objective of the course is to equip you with the knowledge to understand, evaluate, and act upon the many financial and non-financial reports used in managing modern firms. Managing any modern firm requires information about the firm’s products, processes, assets, and customers. This information is a key input into a wide range of decisions: analyzing profitability of various products, managing product-line portfolios, setting prices, measuring and managing profitability of customers, making operational and strategic decisions, evaluating investments, guiding improvement efforts, and so on. The focus of this course is on modern internal-reporting systems. We will discover that many firms do not provide their managers with useful information; we will see numerous examples of value destruction and bankruptcies caused by this. We will also investigate some modern ideas in how an organization’s internal information system should be designed to enhance value creation; and we will see how world-class firms take advantage of their competitors’ internal-reporting mistakes. To attain the right level of understanding, we will briefly explore the mechanics of the many techniques used to prepare internal reports. But the emphasis in this course is very much on interpretation, evaluation, and decision-making. We will examine the following key topics: Designing managerial information systems to support an organization’s strategy. Determining which financial and non-financial metrics are necessary for success in various competitive environments. Evaluating profitability of products, services, assets, and customers. The capabilities and the limitations of various reporting systems in guiding value-maximization, cost-control, and improvement efforts. The limitations of traditional cost-estimation systems. Activity-based costing and activity-based management. Estimating and managing the costs of capacity resources. Relevant costs and relevant revenues in business decisions. The information necessary to evaluate long-term business decisions. The incentives created by various performance-evaluation techniques.",B8007,School of Business,"Business, Engineering:Graduate, SIPA, Journalism",20261ACCT8007B001
ACCTB8007,Spring 2026 Accounting B8007 section 002,Financial Planning & Analysis,Financial Planning & Anal,002,https://doc.sis.columbia.edu/subj/ACCT/B8007-20261-002/,14502,1.5,MW 10:50am-12:20pm 820 Kravis Hall,,"60 students (74 max) as of 11:06AM Monday, April 27, 2026",,Tim Baldenius,LECTURE,In-Person,"This course explores the use of financial information for internal planning, analysis, and decision-making. The main objective of the course is to equip you with the knowledge to understand, evaluate, and act upon the many financial and non-financial reports used in managing modern firms. Managing any modern firm requires information about the firm’s products, processes, assets, and customers. This information is a key input into a wide range of decisions: analyzing profitability of various products, managing product-line portfolios, setting prices, measuring and managing profitability of customers, making operational and strategic decisions, evaluating investments, guiding improvement efforts, and so on. The focus of this course is on modern internal-reporting systems. We will discover that many firms do not provide their managers with useful information; we will see numerous examples of value destruction and bankruptcies caused by this. We will also investigate some modern ideas in how an organization’s internal information system should be designed to enhance value creation; and we will see how world-class firms take advantage of their competitors’ internal-reporting mistakes. To attain the right level of understanding, we will briefly explore the mechanics of the many techniques used to prepare internal reports. But the emphasis in this course is very much on interpretation, evaluation, and decision-making. We will examine the following key topics: Designing managerial information systems to support an organization’s strategy. Determining which financial and non-financial metrics are necessary for success in various competitive environments. Evaluating profitability of products, services, assets, and customers. The capabilities and the limitations of various reporting systems in guiding value-maximization, cost-control, and improvement efforts. The limitations of traditional cost-estimation systems. Activity-based costing and activity-based management. Estimating and managing the costs of capacity resources. Relevant costs and relevant revenues in business decisions. The information necessary to evaluate long-term business decisions. The incentives created by various performance-evaluation techniques.",B8007,School of Business,"Architecture, Schools of the Arts, Business, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, SIPA, Journalism, Law, Public Health, Professional Studies, Social Work",20261ACCT8007B002
ACCTB8008,Spring 2026 Accounting B8008 section 001,Earnings Quality & Fundamental,Earnings Quality & Fundam,001,https://doc.sis.columbia.edu/subj/ACCT/B8008-20261-001/,14675,3,MW 2:20pm-3:50pm 840 Kravis Hall,,"69 students (74 max) as of 11:06AM Monday, April 27, 2026",,Doron Nissim,LECTURE,In-Person,"Financial reporting provides a window into the operational and financial workings of a company. However, translating this information into actionable insights is anything but straightforward. It requires an understanding of: Generally Accepted Accounting Principles (GAAP), the quality of financial information, and the adjustments and analyses used to assess profitability, risk, growth, and value. The course starts with a short review of financial reporting and then focuses on various modules of fundamental analysis, including earnings quality analysis, performance evaluation, risk assessment, forecasting, and valuation. The remaining class meetings (approximately 14 out of 24) are devoted to a deeper dive into the reporting and analysis of key transactions (e.g., business combinations, leasing) and financial statement line items (e.g., revenue, income taxes). To allow for dynamic progress, the class schedule is flexible: Topic Approximate # of class meetings 1. Review of financial reporting 2 2. Financial statement analysis 4 3. Forecasting and valuation 4 4. Revenue and related items 2 5. Operating capacity 3 6. Estimated items 3.5 7. Financial instruments 2 8. Investments in businesses 2.5 9. Equity and related items 1 Total 24 While the course covers the theoretical underpinning of the various analyses, it focuses on implementation and practical uses. We will study many actual financial disclosures and cases of accounting abuses, and we will conduct fundamental-based valuation and other financial analyses, including using Excel tools that will be provided to the students. Studying financial disclosures will help you better understand the underlying assumptions and accounting choices the firm made in arriving at its accounting numbers. This information can be used to make earnings quality adjustments to the accounting numbers to make them more consistent across time or more comparable across companies. Studying cases of accounting abuses will help you improve your ability to “read between the lines” and develop a set of red flags to look for in analyzing financial statements. The class also incorporates insights from practitioner and academic research. The primary objective of the course is to acquire a deep understanding of accounting information and how to intelligently use it in making investment, credit, and similar resource allocation decisions. Such knowledge is required of investors, consultants, analysts, banke",B8008,School of Business,"Business, Engineering:Graduate, Journalism",20261ACCT8008B001
ACCTB8008,Spring 2026 Accounting B8008 section 002,Earnings Quality & Fundamental,Earnings Quality & Fundam,002,https://doc.sis.columbia.edu/subj/ACCT/B8008-20261-002/,14674,3,MW 4:10pm-5:40pm 840 Kravis Hall,,"71 students (74 max) as of 11:06AM Monday, April 27, 2026",,Doron Nissim,LECTURE,In-Person,"Financial reporting provides a window into the operational and financial workings of a company. However, translating this information into actionable insights is anything but straightforward. It requires an understanding of: Generally Accepted Accounting Principles (GAAP), the quality of financial information, and the adjustments and analyses used to assess profitability, risk, growth, and value. The course starts with a short review of financial reporting and then focuses on various modules of fundamental analysis, including earnings quality analysis, performance evaluation, risk assessment, forecasting, and valuation. The remaining class meetings (approximately 14 out of 24) are devoted to a deeper dive into the reporting and analysis of key transactions (e.g., business combinations, leasing) and financial statement line items (e.g., revenue, income taxes). To allow for dynamic progress, the class schedule is flexible: Topic Approximate # of class meetings 1. Review of financial reporting 2 2. Financial statement analysis 4 3. Forecasting and valuation 4 4. Revenue and related items 2 5. Operating capacity 3 6. Estimated items 3.5 7. Financial instruments 2 8. Investments in businesses 2.5 9. Equity and related items 1 Total 24 While the course covers the theoretical underpinning of the various analyses, it focuses on implementation and practical uses. We will study many actual financial disclosures and cases of accounting abuses, and we will conduct fundamental-based valuation and other financial analyses, including using Excel tools that will be provided to the students. Studying financial disclosures will help you better understand the underlying assumptions and accounting choices the firm made in arriving at its accounting numbers. This information can be used to make earnings quality adjustments to the accounting numbers to make them more consistent across time or more comparable across companies. Studying cases of accounting abuses will help you improve your ability to “read between the lines” and develop a set of red flags to look for in analyzing financial statements. The class also incorporates insights from practitioner and academic research. The primary objective of the course is to acquire a deep understanding of accounting information and how to intelligently use it in making investment, credit, and similar resource allocation decisions. Such knowledge is required of investors, consultants, analysts, banke",B8008,School of Business,"Business, Engineering:Graduate, Journalism",20261ACCT8008B002
ACCTB8009,Spring 2026 Accounting B8009 section 001,Financial Statement Analysis a,Financial Statement Analy,001,https://doc.sis.columbia.edu/subj/ACCT/B8009-20261-001/,14673,3,W 9:00am-12:15pm 840 Kravis Hall,,"72 students (74 max) as of 11:06AM Monday, April 27, 2026",,Kalash Jain,LECTURE,In-Person,"This course will provide students with hands-on experience analyzing financial statements. Students will learn about the general tools, theoretical concepts, and practical valuation issues of financial analysis. By the end of the course, students should be comfortable using firms' financial statements (along with other information) to assess firm performance and make reasonable valuation estimates. Course content and organization In the first half of the course, we will develop a valuation framework that integrates a firm’s strategy, its financial performance, and the credibility of its accounting. The framework consists of the following steps: 1. Understand the firm’s strategy. We will assess the firm’s value proposition and identify its key value drivers and risks. 2. Accounting Analysis. We will assess earnings quality and evaluate whether the firm's accounting policies capture the underlying business reality. If not, we will adjust the accounting to eliminate GAAP issues and management biases. 3. Financial Analysis. We will evaluate current performance with accounting data and financial ratios. 4. Prospective Analysis: Forecasting. We will assess whether current firm performance is sustainable, and we will forecast future performance. In our forecasts, we will consider growth, profitability, and future competitive advantage. 5. Prospective Analysis: Valuation. We will convert our forecasts of future earnings and book values into an estimate of the firm’s current value. In the second half of the course, we will apply the above framework to a variety of business valuation contexts, including IPOs, mergers, and equity-investment analyses.",B8009,School of Business,"Business, Engineering:Graduate, Journalism",20261ACCT8009B001
ACCTB8009,Spring 2026 Accounting B8009 section 002,Financial Statement Analysis a,Financial Statement Analy,002,https://doc.sis.columbia.edu/subj/ACCT/B8009-20261-002/,14672,3,R 9:00am-12:15pm 490 Kravis Hall,,"66 students (74 max) as of 11:06AM Monday, April 27, 2026",,Kalash Jain,LECTURE,In-Person,"This course will provide students with hands-on experience analyzing financial statements. Students will learn about the general tools, theoretical concepts, and practical valuation issues of financial analysis. By the end of the course, students should be comfortable using firms' financial statements (along with other information) to assess firm performance and make reasonable valuation estimates. Course content and organization In the first half of the course, we will develop a valuation framework that integrates a firm’s strategy, its financial performance, and the credibility of its accounting. The framework consists of the following steps: 1. Understand the firm’s strategy. We will assess the firm’s value proposition and identify its key value drivers and risks. 2. Accounting Analysis. We will assess earnings quality and evaluate whether the firm's accounting policies capture the underlying business reality. If not, we will adjust the accounting to eliminate GAAP issues and management biases. 3. Financial Analysis. We will evaluate current performance with accounting data and financial ratios. 4. Prospective Analysis: Forecasting. We will assess whether current firm performance is sustainable, and we will forecast future performance. In our forecasts, we will consider growth, profitability, and future competitive advantage. 5. Prospective Analysis: Valuation. We will convert our forecasts of future earnings and book values into an estimate of the firm’s current value. In the second half of the course, we will apply the above framework to a variety of business valuation contexts, including IPOs, mergers, and equity-investment analyses.",B8009,School of Business,"Business, Engineering:Graduate, Journalism",20261ACCT8009B002
ACCTB8009,Spring 2026 Accounting B8009 section 003,Financial Statement Analysis a,Financial Statement Analy,003,https://doc.sis.columbia.edu/subj/ACCT/B8009-20261-003/,14671,3,R 2:20pm-5:35pm 870 Kravis Hall,,"71 students (74 max) as of 11:06AM Monday, April 27, 2026",,Kalash Jain,LECTURE,In-Person,"This course will provide students with hands-on experience analyzing financial statements. Students will learn about the general tools, theoretical concepts, and practical valuation issues of financial analysis. By the end of the course, students should be comfortable using firms' financial statements (along with other information) to assess firm performance and make reasonable valuation estimates. Course content and organization In the first half of the course, we will develop a valuation framework that integrates a firm’s strategy, its financial performance, and the credibility of its accounting. The framework consists of the following steps: 1. Understand the firm’s strategy. We will assess the firm’s value proposition and identify its key value drivers and risks. 2. Accounting Analysis. We will assess earnings quality and evaluate whether the firm's accounting policies capture the underlying business reality. If not, we will adjust the accounting to eliminate GAAP issues and management biases. 3. Financial Analysis. We will evaluate current performance with accounting data and financial ratios. 4. Prospective Analysis: Forecasting. We will assess whether current firm performance is sustainable, and we will forecast future performance. In our forecasts, we will consider growth, profitability, and future competitive advantage. 5. Prospective Analysis: Valuation. We will convert our forecasts of future earnings and book values into an estimate of the firm’s current value. In the second half of the course, we will apply the above framework to a variety of business valuation contexts, including IPOs, mergers, and equity-investment analyses.",B8009,School of Business,"Business, Engineering:Graduate, Journalism",20261ACCT8009B003
ACCTB8027,Spring 2026 Accounting B8027 section 001,Sustainability Reporting,,001,https://doc.sis.columbia.edu/subj/ACCT/B8027-20261-001/,14470,1.5,M 9:00am-12:15pm 870 Kravis Hall,,"32 students (50 max) as of 11:06AM Monday, April 27, 2026",,Aniket A Shah,LECTURE,In-Person,"Broadly speaking, the goal of this class is to provide students with both the theoretical and practical knowledge to understand the current challenges in accounting for firms’ ESG goals. In this rapidly evolving field, the course will be structured in four modules: - Module #1 reviews the need for sustainability accounting and provide an overview of the providers of ESG metrics and the limits of current aggregated ESG data. - Module #2 present various market-based mechanisms to create ESG standards - Module #3 discusses regulatory initiatives to create ESG information for listed firms - Module #4 departs from non-financial disclosure and discuss the limits of current accounting standards and introduce new developments to incorporate ESG characteristics into traditional financial statements. While ESG encompasses a vast body of topics, this class will draw examples and discuss about a diverse set of issues ESG, including carbon emissions, employees pay, employees labor-safety, and the role of consumers’ NGO, based on short examples or cases spanning different firms in different industries (e.g., wholesale, aviation) and different countries (e.g., USA, France, Japan). This half-term course is composed of a mix of lectures, cases and online or in-person interventions by high profile industry guest speakers. The lectures are motivated by (1) rigorous recent academic studies drawing from the accounting literature, but also borrowing from adjacent fields including economics, finance, law and strategy and (2) practitioners notes and examples. Who should take this course? Students should take this course if they are interested in ESG in general and/or if they expect to use disclosure of non-financial information in their career. This is particularly relevant for students who want to pursue careers in finance (e.g., investment banking) where firms’ ESG footprint is becoming a scrutinized factor in M&A or investment decisions in general, as well as students going to careers in consulting where corporate decisions will more and more be benchmark against their ESG implications. Please note that this course does not require students to have pre-existing knowledge about ESG.",B8027,School of Business,"Business, Journalism",20261ACCT8027B001
ACCTB8030,Spring 2026 Accounting B8030 section 001,LBO & Bankruptcy Transactions,LBO & Bankruptcy Transact,001,https://doc.sis.columbia.edu/subj/ACCT/B8030-20261-001/,14693,1.5,T 9:00am-12:15pm 890 Kravis Hall,,"21 students (50 max) as of 11:06AM Monday, April 27, 2026",,Radha Radhakrishna,LECTURE,In-Person,"The purpose of this course is to provide you with an overview of LBO strategies and to introduce you to restructuring and the bankruptcy process. During the course, you will learn how to build a basic financial model and adapt it for LBO transactions. This is an advanced and technical course. If reviewing arcane accounting and legal rules does not bring you joy, you are forewarned! You will see plenty of both in the course. During the course, we will learn to: 1. Build a basic integrated financial models (IS, BS and CFS) 2. Adapt the financial model to study the effect of LBO transactions 3. Study the impact of different deal structures, accounting choices, operating assumptions and financing decisions on firm value, liquidity, profitability, returns and other financial metrics. 4. Learn about alternative exit and restructuring strategies. 5. Understand the bankruptcy process – debt restructuring and fresh start models.",B8030,School of Business,"Business, Engineering:Graduate, Journalism",20261ACCT8030B001
ACCTB8030,Spring 2026 Accounting B8030 section 002,LBO & Bankruptcy Transactions,LBO & Bankruptcy Transact,002,https://doc.sis.columbia.edu/subj/ACCT/B8030-20261-002/,14692,1.5,T 6:00pm-9:15pm 620 Kravis Hall,,"36 students (50 max) as of 11:06AM Monday, April 27, 2026",,Radha Radhakrishna,LECTURE,In-Person,"The purpose of this course is to provide you with an overview of LBO strategies and to introduce you to restructuring and the bankruptcy process. During the course, you will learn how to build a basic financial model and adapt it for LBO transactions. This is an advanced and technical course. If reviewing arcane accounting and legal rules does not bring you joy, you are forewarned! You will see plenty of both in the course. During the course, we will learn to: 1. Build a basic integrated financial models (IS, BS and CFS) 2. Adapt the financial model to study the effect of LBO transactions 3. Study the impact of different deal structures, accounting choices, operating assumptions and financing decisions on firm value, liquidity, profitability, returns and other financial metrics. 4. Learn about alternative exit and restructuring strategies. 5. Understand the bankruptcy process – debt restructuring and fresh start models.",B8030,School of Business,"Business, Engineering:Graduate, Journalism",20261ACCT8030B002
