Section key,Course Code,Course Name,Section,Short Name,Points,Location,Enrollment,Notes,Instructor,Type,Method of Instruction,Course Description,Division,MSOR,MSIE,MSBA,MSE,MSFE,Day,Time_start,Time_end
20261IEOR4004E001,IEOR4004,Spring 2026 Industrial Engineering and Operations Research E4004 OPTIMIZATION MODELS AND METHODS,001,OPTIMIZATION MODELS AND M,3,428 Pupin Laboratories,"140 students (140 max) as of April 27, 2026 / Full",,Yaren Kaya,LECTURE,In-Person,"A graduate course only for MS&E, IE, and OR students. This is also required for students in the Undergraduate Advanced Track. For students who have not studied linear programming. Some of the main methods used in IEOR applications involving deterministic models: linear programming, the simplex method, nonlinear, integer and dynamic programming.",School of Engineering and Applied Science: Graduate,elective,elective,elective,elective,elective,"['Monday', 'Wednesday']",13.166666666666666,14.416666666666666
20261IEOR4004E002,IEOR4004,Spring 2026 Industrial Engineering and Operations Research E4004 OPTIMIZATION MODELS AND METHODS,002,OPTIMIZATION MODELS AND M,3,207 Mathematics Building,"127 students (147 max) as of April 27, 2026",,Yaren Kaya,LECTURE,In-Person,"A graduate course only for MS&E, IE, and OR students. This is also required for students in the Undergraduate Advanced Track. For students who have not studied linear programming. Some of the main methods used in IEOR applications involving deterministic models: linear programming, the simplex method, nonlinear, integer and dynamic programming.",School of Engineering and Applied Science: Graduate,elective,elective,elective,elective,elective,"['Monday', 'Wednesday']",16.166666666666668,17.416666666666668
20261IEOR4010E001,IEOR4010,Spring 2026 Industrial Engineering and Operations Research E4010 Artificial Intelligence for OR and FE,001,AI for OR & FE,3,313 Fayerweather,"41 students (60 max) as of April 27, 2026",,,SEMINAR,In-Person,"Introduces modern artificial intelligence (AI), focus on applications to operations and decision-making in domains such as healthcare, finance, energy systems, and supply chain management. Topics: machine learning, neural networks, large language models (LLMs), reinforcement learning, game theory, multi-agent systems, and agentic frameworks.",School of Engineering and Applied Science: Graduate,elective,elective,elective,elective,elective,"['Monday', 'Wednesday']",10.166666666666666,11.416666666666666
20261IEOR4102E001,IEOR4102,Spring 2026 Industrial Engineering and Operations Research E4102 STOCHASTIC MODELING FOR MSE,001,STOCHASTIC MODELING FOR M,3,142 Uris Hall,"84 students (95 max) as of April 27, 2026",,Karl Sigman,LECTURE,In-Person,"Introduction to stochastic processes and models, with emphasis on applications to engineering and management; random walks, gambler’s ruin problem, Markov chains in both discrete and continuous time, Poisson processes, renewal processes, stopping times, Wald’s equation, binomial lattice model for pricing risky assets, simple option pricing; simulation of simple stochastic processes, Brownian motion, and geometric Brownian motion. A specialized version of IEOR E4106 for MSE students.",School of Engineering and Applied Science: Graduate,elective,elective,elective,elective,elective,"['Monday', 'Wednesday']",13.166666666666666,14.416666666666666
20261IEOR4106E001,IEOR4106,Spring 2026 Industrial Engineering and Operations Research E4106 STOCHASTIC MODELS,001,,3,428 Pupin Laboratories,"132 students (135 max) as of April 27, 2026",,Antonius B Dieker,LECTURE,In-Person,"Some of the main stochastic models used in engineering and operations research applications: discrete-time Markov chains, Poisson processes, birth and death processes and other continuous Markov chains, renewal reward processes. Applications: queueing, reliability, inventory, and finance.",School of Engineering and Applied Science: Graduate,elective,elective,elective,elective,elective,"['Monday', 'Wednesday']",17.666666666666668,18.916666666666668
20261IEOR4108E001,IEOR4108,Spring 2026 Industrial Engineering and Operations Research E4108 SUPPLY CHAIN ANALYTICS,001,,3,633 Seeley W. Mudd Building,"40 students (47 max) as of April 27, 2026",Professor Elioth Sanabria,Elioth Sanabria Buenaventura,LECTURE,In-Person,"Supply chain management, model design of a supply chain network, inventories, stock systems, commonly used inventory models, supply contracts, value of information and information sharing, risk pooling, design for postponement, managing product variety, information technology and supply chain management; international and environmental issues. Note: replaced IEOR E4000 beginning in fall 2018.",School of Engineering and Applied Science: Graduate,elective,elective,elective,elective,elective,"['Tuesday', 'Thursday']",13.166666666666666,14.416666666666666
20261IEOR4111E001,IEOR4111,Spring 2026 Industrial Engineering and Operations Research E4111 OPERATIONS CONSULTING,001,,3,501 Northwest Corner Building,"0 students (90 max) as of April 27, 2026",MSE only,Soulaymane Kachani,LECTURE,In-Person,"Aims to develop and harness the modeling, analytical, and managerial skills of engineering students and apply them to improve the operations of both service and manufacturing firms. Structured as a hands-on laboratory in which students ""learn by doing"" on real-world consulting projects (October to May). The student teams focus on identifying, modeling, and testing (and sometimes implementing) operational improvements and innovations with high potential to enhance the profitability and/or achieve sustainable competitive advantage for their sponsor companies. The course is targeted toward students planning careers in technical consulting (including operations consulting) and management consulting, or pursuing positions as business analysts in operations, logistics, supply chain and revenue management functions, positions in general management, and future entrepreneurs.",School of Engineering and Applied Science: Graduate,elective,elective,elective,elective,elective,['Thursday'],19.166666666666668,21.666666666666668
20261IEME4200E001,IEME4200,Spring 2026 Industrial and Mechanical Engineering E4200 HUMAN-CENTERED DESIGN AND INNOVATION,001,HUMAN-CENTERED DESIGN & I,3,CIN ALFRED LERNE | 430 Riverside Church,"58 students (60 max) as of April 27, 2026",Not approved for MSFE. Lectures held in Lerner Cinema. Desig,Harry West,LECTURE,In-Person,"Open to SEAS graduate and advanced undergraduate students, Business School, and GSAPP. Students from other schools may apply. Fast-paced introduction to human-centered design. Students learn the vocabulary of design methods, understanding of design process. Small group projects to create prototypes. Design of simple product, more complex systems of products and services, and design of business.",School of Engineering and Applied Science: Graduate,elective,elective,elective,elective,elective,['Wednesday'],10.166666666666666,11.416666666666666
20261IEME4200E002,IEME4200,Spring 2026 Industrial and Mechanical Engineering E4200 HUMAN-CENTERED DESIGN AND INNOVATION,002,HUMAN-CENTERED DESIGN & I,3,CIN ALFRED LERNE | 430 Riverside Church,"59 students (60 max) as of April 27, 2026",Not approved for MSFE. Lectures held in Lerner Cinema. Desig,Harry West,LECTURE,In-Person,"Open to SEAS graduate and advanced undergraduate students, Business School, and GSAPP. Students from other schools may apply. Fast-paced introduction to human-centered design. Students learn the vocabulary of design methods, understanding of design process. Small group projects to create prototypes. Design of simple product, more complex systems of products and services, and design of business.",School of Engineering and Applied Science: Graduate,elective,elective,elective,elective,elective,['Wednesday'],10.166666666666666,11.416666666666666
20261ORCS4201E001,ORCS4201,Spring 2026 Op Research - Computer Science E4201 Policy for Privacy Technologies,001,Policy for Privacy Techno,3,633 Seeley W. Mudd Building,"32 students (30 max) as of April 27, 2026 / Full",,Rachel Cummings,LECTURE,In-Person,"Introduction to privacy technologies, their use in practice, and privacy regulations. Potential topics include anonymization, differential privacy, cryptography, secure multi-party computation, and legislation. Course material will be abased in real-world use cases of these tools.",School of Engineering and Applied Science: Graduate,elective,elective,elective,elective,elective,"['Tuesday', 'Thursday']",11.666666666666666,12.916666666666666
