Course Code,Course Name,Short Name,Short Name Alt,Section,Section URL,Call Number,Points,Day/Time,Location,Enrollment,Notes,Instructor,Type,Method of Instruction,Course Description,Number,Division,Open To,Section key
APMAE4200,Spring 2026 Applied Mathematics E4200 section 001,PARTIAL DIFFERENTIAL EQUATIONS,PARTIAL DIFFERENTIAL EQUA,001,https://doc.sis.columbia.edu/subj/APMA/E4200-20261-001/,12923,3,TR 1:10pm-2:25pm 1127 Seeley W. Mudd Building,,"44 students (52 max) as of 11:06AM Monday, April 27, 2026",,Curtiss Lyman,LECTURE,In-Person,"Techniques of solution of partial differential equations. Separation of the variables. Orthogonality and characteristic functions, nonhomogeneous boundary value problems. Solutions in orthogonal curvilinear coordinate systems. Applications of Fourier integrals, Fourier and Laplace transforms. Problems from the fields of vibrations, heat conduction, electricity, fluid dynamics, and wave propagation are considered.",E4200,School of Engineering and Applied Science: Graduate,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies",20261APMA4200E001
APMAE4300,Spring 2026 Applied Mathematics E4300 section 001,COMPUT MATH:INTRO-NUMERCL METH,COMPUT MATH:INTRO-NUMERCL,001,https://doc.sis.columbia.edu/subj/APMA/E4300-20261-001/,12963,3,MW 1:10pm-2:25pm 702 Hamilton Hall,,"48 students (85 max) as of 11:06AM Monday, April 27, 2026",,Kui Ren,LECTURE,In-Person,"Programming experience in Python extremely useful. Introduction to fundamental algorithms and analysis of numerical methods commonly used by scientists, mathematicians and engineers. Designed to give a fundamental understanding of the building blocks of scientific computing that will be used in more advanced courses in scientific computing and numerical methods for PDEs (e.g. APMA E4301, E4302). Topics include numerical solutions of algebraic systems, linear least-squares, eigenvalue problems, solution of non-linear systems, optimization, interpolation, numerical integration and differentiation, initial value problems and boundary value problems for systems of ODEs. All programming exercises will be in Python.",E4300,School of Engineering and Applied Science: Graduate,"Barnard College, Business, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies",20261APMA4300E001
CIENE4129,Spring 2026 Civil Engineering E4129 section 001,MANAGING ENG & CONST PROCESSES,MANAGING ENG & CONST PROC,001,https://doc.sis.columbia.edu/subj/CIEN/E4129-20261-001/,11662,3,T 4:10pm-6:00pm 308A Lewisohn Hall,,"21 students (22 max) as of 11:06AM Monday, April 27, 2026",,Timothy McManus,LECTURE,In-Person,"Introduction to the principles, methods and tools necessary to manage design and construction processes. Elements of planning, estimating, scheduling, bidding and contractual relationships. Valuation of project cash flows. Critical path method. Survey of construction procedures. Cost control and effectiveness. Field supervision.",E4129,School of Engineering and Applied Science: Graduate,"Business, Engineering:Graduate, Professional Studies",20261CIEN4129E001
COMSW4118,Spring 2026 Computer Science W4118 section 001,OPERATING SYSTEMS I,,001,https://doc.sis.columbia.edu/subj/COMS/W4118-20261-001/,12352,3,M 7:00pm-9:30pm 451 Computer Science Building,,"94 students (110 max) as of 11:06AM Monday, April 27, 2026",,Hubertus Franke,LECTURE,In-Person,"Design and implementation of operating systems. Topics include process management, process synchronization and interprocess communication, memory management, virtual memory, interrupt handling, processor scheduling, device management, I/O, and file systems. Case study of the UNIX operating system. A programming project is required.",W4118,Interfaculty,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4118W001
COMSW4170,Spring 2026 Computer Science W4170 section 001,USER INTERFACE DESIGN,,001,https://doc.sis.columbia.edu/subj/COMS/W4170-20261-001/,12353,3,T 7:00pm-9:30pm 301 Pupin Laboratories,,"195 students (200 max) as of 11:06AM Monday, April 27, 2026",,Celeste S Layne,LECTURE,In-Person,"Introduction to the theory and practice of computer user interface design, emphasizing the software design of graphical user interfaces. Topics include basic interaction devices and techniques, human factors, interaction styles, dialogue design, and software infrastructure. Design and programming projects are required.",W4170,Interfaculty,"Barnard College, Business, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4170W001
COMSW4232,Spring 2026 Computer Science W4232 section 001,Advanced Algorithms,,001,https://doc.sis.columbia.edu/subj/COMS/W4232-20261-001/,12355,3,MW 2:40pm-3:55pm 1127 Seeley W. Mudd Building,,"31 students (60 max) as of 11:06AM Monday, April 27, 2026",,Alexandr Andoni,LECTURE,In-Person,"Introduces classic and modern algorithmic ideas that are central to many areas of Computer Science. The focus is on most powerful paradigms and techniques of how to design algorithms, and how to measure their efficiency. The intent is to be broad, covering a diversity of algorithmic techniques, rather than be deep. The covered topics have all been implemented and are widely used in industry. Topics include: hashing, sketching/streaming, nearest neighbor search, graph algorithms, spectral graph theory, linear programming, models for large-scale computation, and other related topics",W4232,School of Engineering and Applied Science: Graduate,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4232W001
COMSW4701,Spring 2026 Computer Science W4701 section 001,ARTIFICIAL INTELLIGENCE,,001,https://doc.sis.columbia.edu/subj/COMS/W4701-20261-001/,12359,3,TR 4:10pm-5:25pm 402 Chandler,,"117 students (120 max) as of 11:06AM Monday, April 27, 2026",,Adam Lin,LECTURE,In-Person,"Prior knowledge of Python is recommended. Provides a broad understanding of the basic techniques for building intelligent computer systems. Topics include state-space problem representations, problem reduction and and-or graphs, game playing and heuristic search, predicate calculus, and resolution theorem proving, AI systems and languages for knowledge representation, machine learning and concept formation and other topics such as natural language processing may be included as time permits.",W4701,Interfaculty,"Barnard College, Business, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4701W001
COMSW4701,Spring 2026 Computer Science W4701 section 002,ARTIFICIAL INTELLIGENCE,,002,https://doc.sis.columbia.edu/subj/COMS/W4701-20261-002/,12360,3,TR 6:40pm-7:55pm 451 Computer Science Building,,"104 students (110 max) as of 11:06AM Monday, April 27, 2026",,Adam Lin,LECTURE,In-Person,"Prior knowledge of Python is recommended. Provides a broad understanding of the basic techniques for building intelligent computer systems. Topics include state-space problem representations, problem reduction and and-or graphs, game playing and heuristic search, predicate calculus, and resolution theorem proving, AI systems and languages for knowledge representation, machine learning and concept formation and other topics such as natural language processing may be included as time permits.",W4701,Interfaculty,"Barnard College, Business, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4701W002
COMSW4705,Spring 2026 Computer Science W4705 section 001,NATURAL LANGUAGE PROCESSING,NATURAL LANGUAGE PROCESSI,001,https://doc.sis.columbia.edu/subj/COMS/W4705-20261-001/,12361,3,TR 4:10pm-5:25pm 451 Computer Science Building,,"104 students (110 max) as of 11:06AM Monday, April 27, 2026",,Zhou Yu,LECTURE,In-Person,"Computational approaches to the analysis, understanding, and generation of natural language text at scale. Emphasis on machine learning techniques for NLP, including deep learning and large language models. Applications may include information extraction, sentiment analysis, question answering, summarization, machine translation, and conversational AI. Discussion of datasets, benchmarking and evaluation, interpretability, and ethical considerations. Due to significant overlap in content, only one of COMS 4705 or Barnard COMS 3705BC may be taken for credit.",W4705,Interfaculty,"Barnard College, Business, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4705W001
COMSW4705,Spring 2026 Computer Science W4705 section 002,NATURAL LANGUAGE PROCESSING,NATURAL LANGUAGE PROCESSI,002,https://doc.sis.columbia.edu/subj/COMS/W4705-20261-002/,12627,3,F 1:10pm-3:40pm 451 Computer Science Building,,"102 students (110 max) as of 11:06AM Monday, April 27, 2026",,Daniel Bauer,LECTURE,In-Person,"Computational approaches to the analysis, understanding, and generation of natural language text at scale. Emphasis on machine learning techniques for NLP, including deep learning and large language models. Applications may include information extraction, sentiment analysis, question answering, summarization, machine translation, and conversational AI. Discussion of datasets, benchmarking and evaluation, interpretability, and ethical considerations. Due to significant overlap in content, only one of COMS 4705 or Barnard COMS 3705BC may be taken for credit.",W4705,Interfaculty,"Barnard College, Business, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4705W002
